characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary
Age mean,63.2,8.3,63.4,8.2,Demographics,,5795,4347,mean,2,1,,Y
Female sex,2036,,1597,,Demographics,,,,n,1,8532,,
Race,0,,0,,Demographics,Y,,,n,,,,
Current smoker,1020,,786,,Demographics,Y,,,n,,,,
History of hypertension,5188,,3937,,Medical history,,,,n,210,320128,,
History of heart failure,803,,658,,Medical history,,,,n,210,316139,,
Duration of diabetes,13.5,,13.7,,Duration of diabetes,Y,,,continuous,210,,,
Retinopathy,1203,,926,,History of microvascular disease,,,,n,210,4174977,,
Nephropathy,994,,780,,History of microvascular disease,,,,n,210,4242411,,
Neuropathy,1787,,1323,,History of microvascular disease,,,,n,210,4301699,,
Coronary,3234,,2487,,History of atherosclerotic vascular disease,Y,,,n,210,,,
Cerebrovascular,1113,,845,,History of atherosclerotic vascular disease,Y,,,n,210,,,
Peripheral,1176,,937,,History of atherosclerotic vascular disease,Y,,,n,210,,,
Any atherosclerotic vascular disease,4127,,3197,,History of atherosclerotic vascular disease,Y,,,n,210,,,
History of cardiovascular disease,3756,,2900,,Medical history,,,,n,210,134057,,
History of amputation,136,,102,,Medical history,Y,,,n,210,4220746,,
Body-mass index,31.9,5.9,32,6,Demographics,,,,mean,705,40762636,,Y
Blood pressure-systolic,136.4,15.8,136.9,15.8,Lab values,,,,mean,705,3004249,,Y
Blood pressure-diastolic,77.6,9.6,77.8,9.7,Lab values,,,,mean,705,3012888,,Y
Glycated hemoglobin — %,8.2,0.9,8.2,0.9,Lab values,,,,mean,705,3004410,,Y
Total cholesterol,4.4,1.1,4.4,1.2,Cholesterol — mmol/liter,,,,mean,705,3027114,,Y
HDL,1.2,0.3,1.2,0.3,Cholesterol — mmol/liter,,,,mean,705,3028437,,Y
LDL,2.3,0.9,2.3,0.9,Cholesterol — mmol/liter,,,,mean,705,3007070,,Y
Ratio of LDL to HDl,2,0.9,2,0.9,Cholesterol — mmol/liter,Y,,,continuous,705,,,
Triglycerides — mmol/liter ,2,1.3,2,1.5,Lab values,,,,mean,705,3022192,,Y
eGFR — ml/min/1.73 m²,76.7,20.3,76.2,20.8,Lab values,,,,mean,705,3029859,,Y
Median albumin-to-creatinine ratio ,12.4,,12.1,,Albumin measurements,,,,median,705,3020682,,Y
Normoalbuminuria — no.,4012,,2995,,Albumin measurements,,,,n,705,3024561,covariateValue < 30,
Microalbuminuria — no.,1322,,944,,Albumin measurements,,,,n,705,3024561,covariateValue >= 30 & covariateValue < 300,
Macroalbuminuria — no.,406,,354,,Albumin measurements,,,,n,705,3024561,covariateValue >= 300,
