characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary
median age — yr,62,,62,,Demographics,,9333,9291,median,2,1,,Y
Age ≥75 yr,1396,,1482,,Demographics,,,,n,2,1,covariateValue >= 75,
Female sex,2655,,2633,,Demographics,,,,n,1,8532,,
Median body weight,80,,80,,Demographics,,,,median,705,3025315,,Y
Body weight <60kg,652,,660,,Demographics,,,,n,705,3025315,covariateValue > 60,
BMI — median,27,,27,,Demographics,,,,median,705,40762636,,Y
Race,0,,0,,Demographics,Y,,,n,,,,
Habitual smoker,3360,,3318,,Cardiovascular risk factor,Y,,,n,,,,
Hypertension,6139,,6044,,Cardiovascular risk factor,,,,n,210,320128,,
Dyslipidemia,4347,,4342,,Cardiovascular risk factor,,,,n,210,4159131,,
Diabetes mellitus,2326,,2336,,Cardiovascular risk factor,,,,n,210,201820,,
MI,1900,,1924,,Medical history,,,,n,210,4329847,,
Percutaneous coronary intervention,1272,,1220,,Medical history,Y,,,n,procedure,4283892,,
Coronary-artery bypass grafting,532,,574,,Medical history,Y,,,n,procedure,4168166,,
Congestive heart failure,513,,537,,Medical history,,,,n,210,319835,,
Nonhemorrhagic stroke,353,,369,,Medical history,,,,n,210,443454;441874,,
Peripheral arterial disease,566,,578,,Medical history,,,,n,210,3654996,,
Chronic renal disease,379,,406,,Medical history,,,,n,210,198185,,
History of dyspnea,1412,,1358,,Medical history,,,,n,210,312437,,
Chronic obstructive pulmonary disease,555,,530,,Medical history,,,,n,210,4209097,,
Asthma,267,,265,,Medical history,,,,n,210,317009,,
Gout,272,,262,,Medical history,,,,n,210,440674,,
Persistent ST-segment elevation,3497,,3511,,ECG findings at study entry,Y,,,n,,,,
ST-segment depression,4730,,4756,,ECG findings at study entry,Y,,,n,,,,
T-wave inversion,2970,,2975,,ECG findings at study entry,Y,,,n,,,,
Positive troponin I test at study entry,7965,,7999,,ECG findings at study entry,Y,,,n,,,,
ST-elevation MI,3496,,3530,,Final diagnosis of ACS,Y,,,n,210,,,
Non-ST-elevation MI,4005,,3950,,Final diagnosis of ACS,,,,n,210,4270024,,
Unstable angina,1549,,1563,,Final diagnosis of ACS,,,,n,210,315296,,
Other diagnosis or missing data,283,,248,,Final diagnosis of ACS,Y,,,n,,,,
Killip class>2,25,,41,,Risk factors for ST-elevation MI,Y,,,n,,,,
TIMI risk score >=3,1584,,1553,,Risk factors for ST-elevation MI,Y,,,n,,,,
Positive troponin I test,4418,,4455,,Risk factors for non-ST-elevation MI,Y,,,n,705,40769783,,
ST-segment depression>0.1mV,3141,,3182,,Risk factors for non-ST-elevation MI,Y,,,n,,,,
TIMI risk score>=5,1112,,1170,,Risk factors for non-ST-elevation MI,Y,,,n,,,,
