characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary
Age mean,65.1,,65,,Demographics,,8280,8212,mean,2,1,,Y
Age >75,1169,,1161,,Demographics,,,,n,2,1,covariateValue > 75,
Female sex,2768,,2687,,Demographics,,,,n,1,8532,,
White race,6241,,6166,,Demographics,Y,,,n,,,,
Hispanic ethnic group,1778,,1763,,Demographics,Y,,,n,,,,
Weight mean,87.7,18.7,88.1,19.4,Demographics,,,,mean,705,3025315,,Y
Weight >= 80kg,5291,,5265,,Demographics,,,,n,705,3025315,covariateValue >= 80,
BMI mean,31.1,5.5,31.2,5.7,Demographics,,,,mean,705,40762636,,Y
BMI >= 30,4446,,4370,,Demographics,,,,n,705,40762636,covariateValue >= 30,
Duration of diabetes median,10.3,,10.3,,Duration of diabetes ,Y,,,continuous,,,,
Duration of diabetes IQR,5.2-16.7,,5.3-16.6,,Duration of diabetes ,Y,,,IQR,,,,
Established atherosclerotic disease,6494,,6465,,Medical history,,,,n,210,40479625,,
Hypertension,6725,,6767,,Medical history,,,,n,210,320128,,
Dyslipidemia,5895,,5844,,Medical history,,,,n,210,4159131,,
Prior myocardial infarction,3147,,3090,,Medical history,,,,n,210,4329847,,
Prior heart failure,1056,,1049,,Medical history,,,,n,210,316139,,
Prior coronary revascularization,3566,,3557,,Medical history,Y,,,n,procedure,4283892,,
Glycated hemoglobin mean,8,1.4,8,1.4,Glycated hemoglobin,,,,mean,705,3004410,,Y
Glycated hemoglobin <6.5%,590,,673,,Glycated hemoglobin,,,,n,705,3004410,covariateValue < 6.5,
Glycated hemoglobin 6.5 to <7.0%,1442,,1414,,Glycated hemoglobin,,,,n,705,3004410,covariateValue >= 6.5 & covariateValue < 7,
Glycated hemoglobin 7.0 to <8.0%,2759,,2657,,Glycated hemoglobin,,,,n,705,3004410,covariateValue >= 7 & covariateValue < 8,
Glycated hemoglobin 8.0 to <9.0%,1557,,1562,,Glycated hemoglobin,,,,n,705,3004410,covariateValue >= 8 & covariateValue < 9,
Glycated hemoglobin >=9%,1761,,1764,,Glycated hemoglobin,,,,n,705,3004410,covariateValue >= 9,
Fasting serum glucose — mg/dl,156,56,157,57,Fasting serum glucose — mg/dl,,,,mean,705,3004501,,Y
Estimated glomerular filtration rate mean - ml/min,72.5,22.6,72.7,22.6,Estimated glomerular filtration rate,,,,mean,705,3029859,,Y
Estimated glomerular filtration rate <30 - ml/min,172,,164,,Estimated glomerular filtration rate,,,,n,705,3029859,covariateValue > 30,
Estimated glomerular filtration rate 30 to <=50 - ml/min,1122,,1118,,Estimated glomerular filtration rate,,,,n,705,3029859,covariateValue >= 30 & covariateValue <= 50,
Estimated glomerular filtration rate > 50 - ml/min,6986,,6930,,Estimated glomerular filtration rate,,,,n,705,3029859,covariateValue >  50,
Albumin-to-creatinine ratio median,1.8,,1.9,,Albumin-to-creatinine ratio,,,,median,705,3020682,,Y
Albumin-to-creatinine ratio IQR,0.7-7.5,,0.7-7.9,,Albumin-to-creatinine ratio,,,,IQR,705,3020682,,
Albumin-to-creatinine ratio < 3.4,4867,,4829,,Albumin-to-creatinine ratio,,,,n,705,3020682,covariateValue > 3.4,
Albumin-to-creatinine ratio 3.4 to 33.9,2217,,2209,,Albumin-to-creatinine ratio,,,,n,705,3020682,covariateValue >= 3.4 & covariateValue <= 33.9,
Albumin-to-creatinine ratio > 33.9,832,,806,,Albumin-to-creatinine ratio,,,,n,705,3020682,covariateValue >  33.9,
