characteristics,target,targetSd,comparator,comparatorSd,tag,isNa,targetSize,comparatorSize,statistics,analysisId,conceptIds,hasValue,summary
Unstable angina or NSTEMI,74,,74,,Final diagnosis of ACS,Y,6813,6795,percent,,,,
STEMI,26,,26,,Final diagnosis of ACS,Y,,,percent,,,,
Age median,61,,61,,Demographics,,,,median,2,1,,Y
Age IQR,53-69,,53-70,,Demographics,Y,,,IQR,,,,
Age >= 75 yr,13,,13,,Demographics,Y,,,percent,,,,
Female sex,25,,27,,Demographics,Y,,,percent,,,,
BMI median,28,,28,,Demographics,Y,,,median,,,,
BMI IQR,25-31,,25-31,,Demographics,Y,,,IQR,,,,
White race,92,,93,,Demographics,Y,,,percent,,,,
Region,0,,0,,Demographics,Y,,,percent,,,,
Hypertension,64,,64,,Medical history,Y,,,percent,,,,
Hypercholesterolemia,56,,56,,Medical history,Y,,,percent,,,,
Diabetes mellitus,23,,23,,Medical history,Y,,,percent,,,,
Tobacco use,38,,38,,Medical history,Y,,,percent,,,,
Previous MI,18,,18,,Medical history,Y,,,percent,,,,
Previous CABG,8,,7,,Medical history,Y,,,percent,,,,
Creatinine clearance <60 ml/min,11,,12,,Creatinine clearance,Y,,,percent,,,,
PCI,99,,99,,Index procedure,Y,,,percent,,,,
CABG,1,,1,,Index procedure,Y,,,percent,,,,
Stent,94,,95,,Index procedure,Y,,,percent,,,,
Bare-metal stent only,48,,47,,Index procedure,Y,,,percent,,,,
1<= Drug-eluting stent,47,,47,,Index procedure,Y,,,percent,,,,
Multivessel PCI,14,,14,,Index procedure,Y,,,percent,,,,
Heparin,66,,65,,Antithrombin use to support PCI,Y,,,percent,,,,
LMWH,9,,8,,Antithrombin use to support PCI,Y,,,percent,,,,
Bivalirudin,3,,3,,Antithrombin use to support PCI,Y,,,percent,,,,
Other or multiple therapies,22,,23,,Antithrombin use to support PCI,Y,,,percent,,,,
Glycoprotein IIb/IIIa–receptor antagonist use during index hospitalization,54,,55,,Glycoprotein IIb/IIIa–receptor antagonist use during index hospitalization,Y,,,percent,,,,
Before PCI,26,,25,,Timing of study-drug administration,Y,,,percent,,,,
During PCI,73,,74,,Timing of study-drug administration,Y,,,percent,,,,
After PCI,1,,1,,Timing of study-drug administration,Y,,,percent,,,,
ACE inhibitor or ARB,76,,75,,Pharmacotherapy during index hospitalization,Y,,,percent,,,,
Beta-blocker,88,,88,,Pharmacotherapy during index hospitalization,Y,,,percent,,,,
Statin,92,,92,,Pharmacotherapy during index hospitalization,Y,,,percent,,,,
Calcium-channel blocker,18,,17,,Pharmacotherapy during index hospitalization,Y,,,percent,,,,
Aspirin,99,,99,,Pharmacotherapy during index hospitalization,Y,,,percent,,,,
,,,,,,Y,,,,,,,
